"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2025-02-10","Abuso sexual infantil",-103.31673245878996,20.724743019796676,"LOMAS DEL PARAISO II","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
"2025-02-17","Abuso sexual infantil",-103.28657568816418,20.669240330172716,"LAGOS DE ORIENTE","GUADALAJARA",39,"15:00","La libertad y la seguridad sexual","AMG"
"2025-02-17","Abuso sexual infantil",-103.27411084551859,20.675118893934613,"SAN JOAQUIN","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
"2025-04-08","Abuso sexual infantil",-103.33657717894634,20.716569433553037,"SANTA ELENA DE LA CRUZ","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
"2025-04-14","Abuso sexual infantil",-103.33953529358214,20.685133395358008,"EL RETIRO","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
"2025-04-21","Abuso sexual infantil",-103.30381496311324,20.69040901648447,"CIRCUNVALACION OBLATOS","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
"2025-04-21","Abuso sexual infantil",-103.2910600034313,20.686769592037866,"BALCONES DE OBLATOS","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
"2025-04-30","Abuso sexual infantil",-103.32865329329287,20.673804776695924,"SAN JUAN DE DIOS","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
"2025-06-02","Abuso sexual infantil",-103.39342894998835,20.63676958357199,"JARDINES DEL SUR","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
"2025-06-22","Abuso sexual infantil",-103.2755040635639,20.6870590011319,"HELIODORO HERNANDEZ LOZA","GUADALAJARA",39,"00:00","La libertad y la seguridad sexual","AMG"
"2025-06-22","Abuso sexual infantil",-103.33707248092003,20.712949788383625,"SANTA ELENA ESTADIO","GUADALAJARA",39,"00:00","La libertad y la seguridad sexual","AMG"
"2025-06-22","Abuso sexual infantil",-103.3382211314776,20.71893988621147,"SANTA ELENA DE LA CRUZ","GUADALAJARA",39,"00:00","La libertad y la seguridad sexual","AMG"
"2025-06-26","Abuso sexual infantil",-103.37155443359963,20.63675068683269,"18 DE MARZO","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
"2025-06-30","Abuso sexual infantil",-103.36611850547251,20.67142422984124,"AMERICANA","GUADALAJARA",39,"N.D.","La libertad y la seguridad sexual","AMG"
